Station,Year,LONGITUDE,LATITUDE,Days
ME_Limestone_4_NNW,2024,-67.88,46.96,167
ME_Old_Town_2_W,2024,-68.7,44.93,167
MI_Chatham_1_SE,2024,-86.92,46.33,166
MI_Gaylord_9_SSW,2024,-84.72,44.91,166
MN_Goodridge_12_NNW,2024,-95.87,48.31,160
MN_Sandstone_6_W,2024,-92.99,46.11,166
MO_Chillicothe_22_ENE,2024,-93.15,39.87,167
MO_Joplin_24_N,2024,-94.58,37.43,167
MO_Salem_10_W,2024,-91.72,37.63,167
MS_Holly_Springs_4_N,2024,-89.43,34.82,166
MS_Newton_5_ENE,2024,-89.07,32.34,167
MT_Dillon_18_WSW,2024,-113.01,45.16,163
MT_Lewistown_42_WSW,2024,-110.29,46.88,167
MT_Wolf_Point_29_ENE,2024,-105.1,48.31,167
MT_Wolf_Point_34_NE,2024,-105.21,48.49,167
NC_Asheville_13_S,2024,-82.56,35.42,166
NC_Asheville_8_SSW,2024,-82.61,35.49,166
NC_Durham_11_W,2024,-79.09,35.97,166
ND_Jamestown_38_WSW,2024,-99.48,46.77,167
ND_Medora_7_E,2024,-103.38,46.89,163
ND_Northgate_5_ESE,2024,-102.17,48.97,167
NE_Harrison_20_SSE,2024,-103.74,42.42,167
NE_Lincoln_11_SW,2024,-96.85,40.7,167
NE_Lincoln_8_ENE,2024,-96.57,40.85,167
NE_Whitman_5_ENE,2024,-101.44,42.07,166
NH_Durham_2_N,2024,-70.93,43.17,167
NH_Durham_2_SSW,2024,-70.95,43.11,167
NM_Las_Cruces_20_N,2024,-106.74,32.61,167
NM_Los_Alamos_13_W,2024,-106.52,35.86,167
NM_Socorro_20_N,2024,-106.89,34.36,166
NV_Baker_5_W,2024,-114.21,39.01,167
NV_Denio_52_WSW,2024,-119.64,41.85,167
NV_Mercury_3_SSW,2024,-116.02,36.62,167
NY_Ithaca_13_E,2024,-76.25,42.44,167
NY_Millbrook_3_W,2024,-73.74,41.79,167
OH_Wooster_3_SSE,2024,-81.91,40.76,166
OK_Goodwell_2_E,2024,-101.59,36.6,160
OK_Goodwell_2_SE,2024,-101.61,36.57,166
OK_Stillwater_2_W,2024,-97.09,36.12,166
OK_Stillwater_5_WNW,2024,-97.11,36.13,166
ON_Egbert_1_W,2024,-79.78,44.23,167
OR_Coos_Bay_8_SW,2024,-124.32,43.27,167
OR_John_Day_35_WNW,2024,-119.65,44.56,167
OR_Riley_10_WSW,2024,-119.69,43.47,167
PA_Avondale_2_N,2024,-75.79,39.86,166
RI_Kingston_1_NW,2024,-71.54,41.49,167
RI_Kingston_1_W,2024,-71.54,41.48,167
SC_Blackville_3_W,2024,-81.33,33.36,166
SC_McClellanville_7_NE,2024,-79.36,33.15,166
SD_Aberdeen_35_WNW,2024,-99.13,45.71,162
SD_Buffalo_13_ESE,2024,-103.3,45.52,167
SD_Pierre_24_S,2024,-100.35,44.02,167
SD_Sioux_Falls_14_NNE,2024,-96.62,43.73,166
TN_Crossville_7_NW,2024,-85.13,36.01,164
TX_Austin_33_NW,2024,-98.08,30.62,166
TX_Bronte_11_NNE,2024,-100.25,32.04,166
TX_Edinburg_17_NNE,2024,-98.06,26.53,166
TX_Monahans_6_ENE,2024,-102.81,31.62,166
TX_Muleshoe_19_S,2024,-102.77,33.96,166
TX_Palestine_6_WNW,2024,-95.72,31.78,167
TX_Panther_Junction_2_N,2024,-103.21,29.35,166
TX_Port_Aransas_32_NNE,2024,-96.82,28.3,166
UT_Brigham_City_28_WNW,2024,-112.54,41.62,167
UT_Torrey_7_E,2024,-111.29,38.3,167
VA_Cape_Charles_5_ENE,2024,-75.93,37.29,155
VA_Charlottesville_2_SSE,2024,-78.47,38.0,166
WA_Darrington_21_NNE,2024,-121.45,48.54,167
WA_Quinault_4_NE,2024,-123.81,47.51,141
WA_Spokane_17_SSW,2024,-117.53,47.42,167
WI_Necedah_5_WNW,2024,-90.17,44.06,164
WV_Elkins_21_ENE,2024,-79.47,39.01,166
WY_Lander_11_SSE,2024,-108.67,42.68,164
WY_Moose_1_NNE,2024,-110.71,43.66,167
WY_Sundance_8_NNW,2024,-104.44,44.52,167
